"fname","lname","week","yr","actual","rating","home","pts_1y","xpa_1y","xpm_1y","fga_1y","fgm_1y","gt50_1y","pts_2y","xpa_2y","xpm_2y","fga_2y","fgm_2y","gt50_2y","xpa_1wk","xpm_1wk","fga_1wk","fgm_1wk","gt50_1wk","xpa_2wk","xpm_2wk","fga_2wk","fgm_2wk","gt50_2wk"
" Cody"," Parkey","5","2014","10","17","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","0","0","0","3","3","0","0","0"
" Cairo"," Santos","5","2014","5","12","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","5","5","2","2","0","5","5","2","2","0"
" Josh"," Scobee","5","2014","9","11","1","99","23","22","25","23","4","95","19","18","28","25","1","2","2","0","0","0","2","2","0","0","0"
" Ryan"," Succop","5","2014","4","16","1","120","52","52","28","22","1","105","17","17","34","28","2","2","2","1","1","0","2","2","1","1","0"
" Shaun"," Suisham","5","2014","5","21","0","129","39","39","32","30","0","120","34","34","31","28","1","3","3","2","1","0","3","3","2","1","0"
" Justin"," Tucker","5","2014","9","7","0","152","26","26","41","38","6","140","42","42","33","30","4","5","5","2","1","0","5","5","2","1","0"
" Adam"," Vinatieri","5","2014","8","9","1","147","34","34","40","35","4","123","37","37","33","26","4","5","5","2","2","0","5","5","2","2","0"
" Blair"," Walsh","5","2014","4","8","0","125","44","43","30","26","2","161","36","36","38","35","10","3","3","5","4","1","3","3","5","4","1"
" Dan"," Bailey","6","2014","14","16","0","143","47","47","30","28","6","130","37","37","31","29","3","2","2","3","2","0","2","2","3","2","0"
" Matt"," Bryant","6","2014","11","7","1","117","39","39","27","24","3","151","44","44","38","33","4","2","2","2","2","0","2","2","2","2","0"
