"fname","lname","week","yr","actual","rating","home","pts_1y","ruyds_1y","rutd_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","ruatt_2y","ruyds_2y","rutd_2y","rerec_2y","reyds_2y","retd_2y","ruyds_1wk","rutd_1wk","rerec_1wk","reyds_1wk","retd_1wk","ruyds_2wk","rutd_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" Rishard"," Matthews","4","2014","2","21","0","53","0","0","41","448","2","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","1","13","0","0","0","1","4","0"
" Rueben"," Randle","4","2014","8","19","0","92","0","0","41","611","6","44","0","0","0","19","298","3","0","0","5","27","0","0","0","4","39","1"
" Sammy"," Watkins","4","2014","9","2","0","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","19","0","0","0","8","117","1"
" Steve"," Smith","4","2014","25","19","1","94","0","0","64","745","4","144","3","27","0","85","1287","4","0","0","5","101","0","0","0","6","71","0"
" Stevie"," Johnson","4","2014","7","1","1","74","10","0","52","597","3","132","0","0","0","79","1046","6","0","0","9","103","0","0","0","2","26","0"
" Terrance"," Williams","4","2014","19","23","1","98","4","0","44","736","5","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","2","32","1","0","0","2","20","0"
" Torrey"," Smith","4","2014","11","19","1","132","0","0","65","1128","4","127","3","9","0","49","855","8","0","0","2","25","0","0","0","1","10","0"
" TY"," Hilton","4","2014","10","17","1","132","6","0","82","1083","5","127","5","29","0","50","861","7","0","0","5","80","0","0","0","6","65","0"
" Vincent"," Jackson","4","2014","9","16","0","156","0","0","78","1224","7","181","0","0","0","72","1384","8","0","0","2","15","1","0","0","4","51","0"
" Allen"," Hurns","5","2014","2","11","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","5","68","0","0","0","1","63","1"
" Allen"," Robinson","5","2014","5","11","1","108.5186649099693","16.36890645586298","0.08344312692138779","61.43126921387791","819.3188405797101","5.197628458498023","111.4854682454252","2.629709364908504","16.38213132400431","0.06135629709364909","62.08503767491927","837.3067814854683","5.44940796555436","0","0","5","38","0","0","0","7","79","0"
