"fname","lname","week","yr","actual","rating","home","pts_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","rerec_2y","reyds_2y","retd_2y","pts_1wk","rerec_1wk","reyds_1wk","retd_1wk","pts_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" Dion"," Sims","13","2014","5","27","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","4","31","0","1","2","11","0"
" Eric"," Ebron","13","2014","2","15","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","2","23","0","2","4","22","0"
" Jermaine"," Gresham","13","2014","3","17","0","61","46","458","4","95","64","737","5","3","4","33","0","13","2","13","2"
" John"," Carlson","13","2014","3","19","0","33","32","344","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","3","25","0","3","3","37","0"
" Larry"," Donnell","13","2014","4","16","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","2","24","0","11","3","54","1"
" Levine"," Toilolo","13","2014","7","5","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","17","0","2","2","23","0"
" Luke"," Willson","13","2014","3","13","0","28","20","272","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","1","21","0","5","3","51","0"
" Martellus"," Bennett","13","2014","10","11","0","97","65","759","5","86","55","626","5","3","4","37","0","2","4","29","0"
" Mychal"," Rivera","13","2014","2","6","0","61","38","407","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","8","0","4","3","40","0"
" Richard"," Rodgers","13","2014","9","8","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","6","1","1","1","1","1","19","0"
" Rob"," Gronkowski","13","2014","9","8","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","140","55","790","11","7","5","78","0","13","4","71","1"
" Travis"," Kelce","13","2014","3","20","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","6","4","67","0","2","3","37","0"
" Vernon"," Davis","13","2014","1","14","1","157","52","850","13","79","41","548","5","2","3","21","0","0","1","7","0"
" Andrew"," Quarless","14","2014","5","20","1","37","32","312","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","17","0","5","2","50","0"
" Antonio"," Gates","14","2014","3","7","1","104","77","872","4","89","49","538","7","8","7","83","0","1","2","14","0"
" Benjamin"," Watson","14","2014","6","22","1","31","19","226","2","61","49","501","3","7","1","15","1","0","1","4","0"
